Topic ID,Discussion ID,Argument ID,Is Argument?,Stance,Relevance,Logical Quality,Rhetorical Quality,Dialectical Quality,Conclusion,Premise,Comment
0001,00006608,00000001,True,Con,2,1,2,1,Abortion Should Be Banned,I used to be against abortion until I met you.,personal attack
0001,00008865,00000001,True,Pro,3,4,2,3,Abortion should be legal,"Abortion should be legal because if a woman doesn't want to have a child than she should have the right to prevent herself from having one. If the government bans abortion then they would be forcing a woman to have a child. If a pregnant woman doesn't have an abortion then she is going to have a child. So if the government takes away that right then pregnant women will have no choice but to have a child. Adoption is a option that is not used often after a woman gives birth to a child. Most women don't want to put their child up for adoption. If the government bans abortion then some women will have an unsafe abortion. More women will have an unsafe abortion if abortion is illegal. Every year approximately 78,000 women die from unsafe abortion. If abortion is legal then less unsafe abortions will occur. Abortion is a safe medical procedure. 88% of women who have an abortion do so in their first trimester. Medical abortions have less than 0.5% risk of serious complications and do not affect a woman's health or future ability to become pregnant or give birth. The government should make sure that late term abortion is safe. The fetus is in the woman's body so therefore the government should not control their bodies. Banning abortion is bad for women and is anti-women's rights.",repetitive
0001,00009560,00000050,True,Pro,3,2,1,2,Abortion Should Be Banned.,"All abortion shouldn't be banned. However in most cases I think it should. Only if the mother is in server mental or physical distress, and this is stated by a medical professional, then the child should be aborted.",
0001,00009560,00000070,True,Pro,4,4,4,3,Abortion Should Be Banned.,"Abortion (elective abortions) should be banned because they violate a child's Constitutional right to the ""equal protections"" of our laws. The (U.S.) Constitutionality of Legalized Abortions on Demand",
0001,00011158,00000005,True,Con,3,2,3,3,Why Abortion should be banned,"What about the trauma rape victims go through? Rape victims often get PTSD from their ordeal. Being pregnant and knowing you MUST deliver a baby you had no consent in making puts a lot of stress on the rape victim. It adds to the trauma. Rape is not a good thing, even if a baby comes out of it. Another thing is that women aren't entirely helpless. They take precautions. Some are black belts and others carry pepper spray or a gun. And why should we penalize women for being the victim? Another thing is that banning abortion will not stop it, just like how the Prohibition Act did not stop alcohol. The only thing an abortion ban will stop is safe abortions. Women who do not want a baby will still try it on themselves, without the help of a doctor. And trying abortion without a doctor is extremely risky. This could not just kill the baby, but it's dangerous to the woman as well. It could end up killing them both, or even worse, keeping the baby alive, but horribly deform it.",
0001,00012801,00000010,True,Not specified,3,4,4,4,There are practical problems with banning abortion,"Not only is banning abortion a problem in theory, offending against a woman's right to choose, it is also a practical problem. Enforcing an abortion ban would require a quite degrading and inhumane treatment of those women who wished to have their fetus terminated. Moreover, if pregnant women traveled abroad, they would be able to have an abortion in a country where it was legal. Either the state takes the draconian measure of restricting freedom of movement, or it must admit that its law is unworkable in practice and abolish it. The middle way of tacitly accepting foreign terminations would render hypocritical the much-vaunted belief in the sanctity of life. The demand for abortions will always exist; making abortion illegal, will simply drive it underground and into conditions where the health and safety of the woman might be put at risk.1 Example: Polish women, living in a country with extremely restrictive abortion laws often go abroad to the Netherlands, Germany and Austria for abortions.2 Women who are not lucky enough to live in environments such as the EU may be forced to go to foreign countries and undergo underground, unsafe abortions. 1 WARSAW BUSINNES JOURNAL",
0001,00015397,00000001,True,Pro,3,3,2,4,There should not be any type of ban on Abortion,"First of all, I'd like to welcome dxpilot to this debate. I would first like to state that, there are many reasons there should not be a ban on abortion. First of all, it is the mother's choice, and the mother's choice alone. Simple as that. Post-abortion guilt. These effects do not always take place. Suppose a woman got raped, and she was worried about the child she was to have. She could, very easily, feel relief in getting an abortion, knowing that there will not be any other long-term effects. Although this seems a bit immoral, I do not think a growing fetus should be considered a human. Just like an apple seed should not be considered an apple tree. And although this seems just as immoral, it is not an independet creature. It lives much like a parisite, living off of it's host. Some may say that, when a pregnant mother is killed, it is counted as double murder. And because of this, there should be a ban, right? Wrong. It has often been proven that medical laws and procedures, can very much differ from the laws upheld in the courtroom. Prove me wrong.",
0001,00019148,00000020,True,Con,3,4,3,3,There is a vast amount of support in the United States for a ban on partial-birth abortion. Opinion...,"These opinion polls are misleading, as they force respondents to choose between an outright ban or no control at all – it is impossible for them to register support for partial-birth abortion in cases where the mother’s physical or psychological health is in danger. A majority of Americans are still in favour of the right to abortion. More importantly, this should not be the business of the general public or of legislators. Nobody who would prefer not to have a partial-birth abortion will be made to have one. Most people who want it banned will never face a situation where it directly affects them in any case. We should leave decisions up to the people who are directly affected by them - not to outsiders, who are free to express their opinion but not to impose it on everyone else. This is a campaign promise George Bush should not keep.",
0001,00019148,00000021,True,Pro,4,4,3,4,There is a vast amount of support in the United States for a ban on partial-birth abortion. Opinion...,"There is a vast amount of support in the United States for a ban on partial-birth abortion. Opinion polls have shown a consistent increase in support for a ban: as high as 66% in favour to 29% against in May 2000. Furthermore, in 1997 the House of Representatives voted 295-136, and the Senate 64-36, in favour of a ban. For President Clinton to veto it was undemocratic; for President Bush not to pass it would be to break a campaign promise.",
0001,00021308,00000005,False,Con,-2,-2,-2,-2,DDOlympic: Abortion should be illegal,"Preface I thank Bob in advance for selecting this topic with me. He desired to debate this, when I didn't, but this was the only topic we could do. This is for the DDOlympic single debate's tourney, and it is round 1. The topic is abortion. My opponent needs to say that abortion is illegal, and should be banned, when I have to say abortion should not be banned, and it should be legal. Full Resolution: Abortion should be illegal, and banned when the Abortion is under 28 weeks Rules 1. No forfeiting, if you forfeit, then you automatically lose the debate 2. BoP is on Pro. I can, or cannot provide offense 3. No trolling 4. No kritiks, and no semantics 5. 8000 characters 6. Not follwing rules means loss. Structure R1. Con makes rules/ Pro makes arguments R2. Con can make arguments, and makes rebuttals/ Pro can make rebuttals if Con makes arguments, and defense R3. Con makes Defense if made arguments, and rebuttals of defense/ Pro makes rebuttals of defense if Con makes arguments, and makes conclusion R4. Con makes his conclusion/ Pro waives Definitions Abortion: a medical procedure used to end a pregnancy and cause the death of the fetus [1]. (It has to be under 28 weeks) Banned: to forbid people from using (something) : to say that something cannot be used or done [2]. With that, now it's time to start the debate. Good luck to Bob for the debate, and thanks for bsh to host the Olympics. Sources [1]",None
